Timestamp,Which apartment building do you/have you lived in? (ie: Skyloft),What school year did you live there?,What was your monthly rent amount?,How many bedrooms were in your apartment?,Was your apartment double occupant?,How many bathrooms were in your apartment?,Please select the below that applied to your apartment,"On a scale of 1 (horrible) to 5 (great), how was your overall experience at the building?",Year Built
59:32.0,Buena Vista Condos,2022-2023,900.0,2,Yes,2,"Includes a parking lot, Unfurnished, No gym, No pool",4,1982
45:03.3,Littlefield House Apartments,2023-2024,1025.0,2,No,2,"Includes a parking lot, Unfurnished, No gym, No pool",4,1984
31:11.9,Villas on Rio,2022-2023,1300.0,2,Yes,2,,4,2021
47:41.9,Lark,2022-2023,1100.0,4,No,4,,4,2019
48:26.9,Waterloo,2022-2023,1200.0,6,No,6,,3,2022
57:05.1,Villas on Rio,2022-2023,1407.0,5,No,5,,4,2021
59:50.5,The Corner,2022-2023,1100.0,4,No,3,"Includes a parking lot, No gym, No pool",4,0
00:19.4,Nine at Rio,2021-2022,1100.0,4,No,4,"Includes a parking lot, No window",2,2019
00:24.0,Waterloo,2022-2023,793.0,1,No,1,Includes a parking lot,3,2022
00:58.2,Villas on Rio,2022-2023,760.0,2,Yes,2,Includes a parking lot,2,2021
12:47.1,Block on Pearl South,2022-2023,1050.0,4,No,2,"Includes a parking lot, Unfurnished, No gym, No pool",3,0
39:33.6,Block on 25th East,2022-2023,927.0,3,No,3,Includes a parking lot,4,0
16:43.3,Torre,2022-2023,1350.0,3,No,4,No window,4,2021
19:28.7,Callaway,2022-2023,1900.0,2,Yes,2,,4,2013
27:42.3,Callaway,2022-2023,2100.0,3,No,3,,4,2013
39:23.9,Skyloft,2022-2023,1125.0,2,No,2,Includes a parking lot,2,2018
12:26.6,Torre,2022-2023,1820.0,3,No,3,Includes a parking lot,4,2021
07:28.0,Block on Rio,2020-2021,950.0,4,No,4,"Includes a parking lot, No gym, No pool",3,0
08:00.6,Regents West on 26th,2022-2023,1080.0,2,No,1,"Includes a parking lot, No pool",5,2012
10:00.4,2215,2022-2023,1200.0,4,No,4,No pool,2,2016
00:42.9,Rio West,2022-2023,800.0,4,Yes,4,Includes a parking lot,3,2006
